"Title","ID","State","Session","Chamber","Introduction Date"
"URGING THE DEPARTMENT OF LAND AND NATURAL RESOURCES AND THE SAND ISLAND BUSINESS ASSOCIATION TO CONTINUE THEIR DISCUSSIONS REGARDING THE SALE OR EXCHANGE OF PARCELS OF LAND WITHIN THE SAND ISLAND INDUSTRIAL PARK.","HCR 196","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"HONORING THE BOYS AND GIRLS CLUB OF HAWAII YOUTH OF THE YEAR FINALISTS.","HR 200","hi","2013 Regular Session","lower","2013-03-19 00:00:00"
"REQUESTING THE OFFICE OF THE AUDITOR TO CONDUCT A MANAGEMENT AND FINANCIAL AUDIT OF THE GLASS ADVANCE DEPOSIT FEE SPECIAL ACCOUNT IN THE ENVIRONMENTAL MANAGEMENT FUND FOR FISCAL YEAR 2012-2013 TO DETERMINE WHETHER A CHANGE IN THE GLASS ADVANCE DEPOSIT FEE IS JUSTIFIED AND NECESSARY.","HR 168","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE HONOLULU AUTHORITY FOR RAPID TRANSPORTATION TO CONDUCT A STUDY OF THE FEASIBILITY AND COST OF CONSTRUCTING A RAPID TRANSPORTATION LINE FROM EAST KAPOLEI TO MAKAHA.","HCR 190","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE OFFICE OF THE AUDITOR TO CONDUCT A STUDY REGARDING SPECIAL FUNDS AND REVOLVING FUNDS.","HCR 180","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"ADOPTING THE INTERNATIONAL LABOR ORGANIZATION CONVENTION 169 CONCERNING INDIGENOUS AND TRIBAL PEOPLES IN INDEPENDENT COUNTRIES.","SCR 138","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF HUMAN RESOURCES DEVELOPMENT TO CONDUCT A STUDY ON THE FEASIBILITY OF ESTABLISHING AND IMPLEMENTING A TELEWORK PROGRAM FOR STATE AGENCIES ON OAHU.","SCR 128","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE UNITED STATES DEPARTMENTS OF DEFENSE AND HOMELAND SECURITY TO ASSESS HAWAII'S VULNERABILITY TO NUCLEAR ATTACK AND THE ABILITY OF THE UNITED STATES TO DEFEND HAWAII.","HCR 225","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE UNITED STATES DEPARTMENTS OF DEFENSE AND HOMELAND SECURITY TO ASSESS HAWAII'S VULNERABILITY TO NUCLEAR ATTACK AND THE ABILITY OF THE UNITED STATES TO DEFEND HAWAII.","HR 179","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"RECOGNIZING HAWAII AS A HUMAN RIGHTS STATE.","SCR 140","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE HAWAII TEACHER STANDARDS BOARD TO ESTABLISH A PROGRAM TO SELECT AND EVALUATE ACTIVITIES RELATING TO THE PROFESSIONAL DEVELOPMENT OF TEACHERS.","HCR 202","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF EDUCATION AND DEPARTMENT OF HEALTH TO EXPAND SCHOOL-BASED PHYSICAL ACTIVITY PROGRAMS AND INCREASE STUDENT PARTICIPATION IN THOSE PROGRAMS.","HCR 234","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE HAWAII PAROLING AUTHORITY TO THOROUGHLY CONSIDER GRANTING PAROLE TO CLASS A, CLASS B, AND CLASS C FELONS BEFORE THE EXPIRATION OF THEIR MAXIMUM TERMS.","HCR 171","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE LEGISLATIVE AUDITOR TO COMPLETE A STUDY TO IDENTIFY POSSIBLE MEANS OF REVENUE GENERATION THROUGH ALTERNATE USE OF LAND AT THE SITE OF THE OAHU COMMUNITY CORRECTIONAL CENTER.","HCR 182","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE OFFICE OF THE AUDITOR TO CONDUCT A STUDY REGARDING SPECIAL FUNDS AND REVOLVING FUNDS.","HR 145","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF EDUCATION TO ADD A MANDATORY COURSE IN ECONOMIC AND FINANCIAL MANAGEMENT LITERACY TO THE EXISTING PUBLIC HIGH SCHOOL CURRICULUM.","HR 165","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"URGING THE HAWAII TEACHER STANDARDS BOARD TO ESTABLISH A PROGRAM TO SELECT AND EVALUATE ACTIVITIES RELATING TO THE PROFESSIONAL DEVELOPMENT OF TEACHERS.","HR 163","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE ESTABLISHMENT OF AN AGRICULTURAL THEFT TASK FORCE.","HCR 233","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE JUDICIARY AND THE DEPARTMENT OF PUBLIC SAFETY TO COLLABORATE ON REDUCING THE NECESSITY AND NUMBER OF TRIPS BY PRISONERS TO COURTHOUSES FOR HEARINGS.","SCR 112","hi","2013 Regular Session","upper","2013-03-12 00:00:00"
"REQUESTING THE PRESIDENT AND CONGRESS TO EXEMPT HAWAII, ALASKA, GUAM, AND PUERTO RICO FROM THE "JONES ACT" FOR THE HEALTH, SAFETY, AND SECURITY OF THEIR RESIDENTS.","SCR 117","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF TRANSPORTATION TO ALLOW MOTORISTS COMMUTING TO HONOLULU ON THE H-1 FREEWAY TO TRAVEL ON THE SHOULDER LANE DURING THE MORNING RUSH HOUR COMMUTE IN ORDER TO EXIT THE H-1 FREEWAY AT THE EWA/WAIPAHU EXIT.","SCR 127","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE DIRECTOR OF COMMERCE AND CONSUMER AFFAIRS TO CONVENE A WORKING GROUP TO PROPOSE REGULATIONS AND LICENSING REQUIREMENTS FOR HEALTH EDUCATORS.","SCR 183","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE HONOLULU AUTHORITY FOR RAPID TRANSPORTATION TO CONDUCT A STUDY OF THE FEASIBILITY AND COST OF CONSTRUCTING A RAPID TRANSPORTATION LINE FROM EAST KAPOLEI TO MAKAHA.","HR 151","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"URGING THE STATE TO PURCHASE AGRICULTURAL LAND FROM DOLE FOOD COMPANY, INC.","HCR 198","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"RECOGNIZING JANUARY 17TH OF EVERY YEAR AS A DAY TO COMMEMORATE AND RECOGNIZE THE EVENTS AND STRUGGLE FOR JUSTICE THAT LED TO THE APOLOGY TO NA KANAKA MAOLI BY THE UNITED CHURCHES OF CHRIST AND THE UNITED STATES CONGRESSIONAL APOLOGY TO NATIVE HAWAIIANS AND URGING SCHOOLS, THE HOSPITALITY INDUSTRY, AND THE UNITED STATES DEPARTMENT OF DEFENSE TO INCORPORATE THE FOREGOING APOLOGIES INTO THEIR CURRICULUM OR ORIENTATION AND TRAINING PROGRAMS.","SCR 90","hi","2013 Regular Session","upper","2013-03-11 00:00:00"
"RELATING TO RETIREMENT BENEFITS FOR JUDGES.","HB 807","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"REQUESTING THE DEPARTMENT OF EDUCATION TO ADD A MANDATORY COURSE IN ECONOMIC AND FINANCIAL MANAGEMENT LITERACY TO THE EXISTING PUBLIC HIGH SCHOOL CURRICULUM.","HCR 209","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"URGING THE OFFICE OF HAWAIIAN AFFAIRS TO CONDUCT A FINANCIAL REVIEW OF INFORMATION SUBJECT TO THE REPORTING REQUIREMENTS OF SECTION 5 OF ACT 178, SESSION LAWS OF HAWAII 2006.","SCR 145","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"RELATING TO VICTIMS OF CRIMES.","SB 60","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO EDUCATION.","HB 719","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO TOXIC PRODUCTS.","HB 396","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"URGING THE OFFICE OF PLANNING TO CONVENE THE FOOD SUSTAINABILITY STANDARD TASK FORCE TO DEVELOP A FOOD SUSTAINABILITY STANDARD FOR THE STATE.","SCR 93","hi","2013 Regular Session","upper","2013-03-11 00:00:00"
"REQUESTING THE ESTABLISHMENT OF A TASK FORCE TO STUDY AND MAKE RECOMMENDATIONS REGARDING SCHOOL SAFETY.","HCR 215","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"EXPRESSING THE HAWAII STATE LEGISLATURE'S SUPPORT OF JAPAN'S EFFORTS TO ADDRESS THE ISSUE OF INTERNATIONAL CHILD ABDUCTION IN JAPAN.","HR 141","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE ESTABLISHMENT OF AN AGRICULTURAL THEFT TASK FORCE.","SCR 134","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE HAWAII TOURISM AUTHORITY TO WORK WITH AIRLINE COMPANIES TO SHOW OCEAN SAFETY VIDEOS ON HAWAII-BOUND FLIGHTS.","HR 154","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"SUPPORTING THE PHASE OUT OF THE DEPOSIT BEVERAGE CONTAINER RECYCLING PROGRAM TO ESTABLISH AN EXPANDED STATEWIDE CURBSIDE RECYCLING PROGRAM.","HCR 230","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE LEGISLATIVE AUDITOR TO COMPLETE A STUDY TO IDENTIFY POSSIBLE MEANS OF REVENUE GENERATION THROUGH ALTERNATE USE OF LAND AT THE SITE OF THE OAHU COMMUNITY CORRECTIONAL CENTER.","HR 147","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"URGING THE COMMISSION ON SALARIES TO SUSPEND THE AUTOMATIC SALARY INCREASE AND EXTEND THE SALARY REDUCTION FOR MEMBERS OF THE LEGISLATURE UNTIL HAWAII'S ECONOMIC FORECAST REFLECTS GREATER GROWTH AND VITALITY.","HR 191","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE LEGISLATIVE AUDITOR TO ADDRESS THE ISSUES AND CONCERNS RAISED BY THE SENATE SPECIAL COMMITTEE ON ACCOUNTABILITY RELATING TO THE UNIVERSITY OF HAWAII.","HCR 52","hi","2013 Regular Session","lower","2013-02-21 00:00:00"
"REQUESTING A FINANCIAL AND MANAGEMENT AUDIT OF THE DEPARTMENT OF EDUCATION.","HCR 207","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF EDUCATION TO CONVENE A PUBLIC CHARTER SCHOOLS EQUITABLE FEDERAL FUNDING TASK FORCE TO STUDY AND MAKE RECOMMENDATIONS ON ENHANCING HAWAII'S EFFORTS TO OBTAIN INCREASED FEDERAL FUNDING FOR PUBLIC CHARTER SCHOOLS AND CORRECTING ANY INEQUITIES OR INCONSISTENCIES IN DISTRIBUTION OF FEDERAL FUNDING AMONG PUBLIC CHARTER SCHOOLS.","SCR 171","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE DEPARTMENT OF EDUCATION TO SUPPORT AND ENCOURAGE THE USE OF THE HAWAIIAN LANGUAGE BY CHILDREN UNDER THE AGE OF FIVE BY DEVELOPING A PROGRAM TO IMPLEMENT THE REJUVENATION AND PROTECTION OF THE HAWAIIAN LANGUAGE AND PROMOTING FLUENCY IN PREKINDERGARTEN-AGED CHILDREN.","SCR 167","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE DEPARTMENT OF EDUCATION TO INCLUDE HANDS-ONLY CARDIOPULMONARY RESUSCITATION TRAINING AS PART OF PUBLIC HIGH SCHOOL HEALTH EDUCATION GRADUATION REQUIREMENTS.","SCR 174","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE UNIVERSITY OF HAWAII WILLIAM S. RICHARDSON SCHOOL OF LAW TO PROVIDE AN UPDATED STUDY TO THE LEGISLATURE ON ANY OF THE ISSUES RELATED TO PUBLIC CONCERN OR CONTENTIOUSNESS OVER THE USE OF PUBLIC LANDS AND POTENTIAL RAMIFICATIONS SURROUNDING THE USE OF AVAILABLE LANDS, PUBLIC LANDS, AND CEDED LANDS.","SCR 188","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF ACCOUNTING AND GENERAL SERVICES IN COOPERATION WITH THE STATE HISTORIC PRESERVATION DIVISION OF THE DEPARTMENT OF LAND AND NATURAL RESOURCES TO DEVELOP AND IMPLEMENT A PLAN TO REPAIR AND MAINTAIN THE REFLECTING POOLS SURROUNDING THE STATE CAPITOL.","HCR 228","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF EDUCATION AND DEPARTMENT OF HEALTH TO EXPAND SCHOOL-BASED PHYSICAL ACTIVITY PROGRAMS AND INCREASE STUDENT PARTICIPATION IN THOSE PROGRAMS.","HR 189","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"RELATING TO INSURANCE.","SB 1072","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO COLLECTIVE BARGAINING.","SB 868","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO BEACH NOURISHMENT.","SB 497","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO CONTINUING EDUCATION.","SB 200","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO HUMAN SERVICES.","SB 148","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"URGING THE STATE TO PURCHASE AGRICULTURAL LAND FROM DOLE FOOD COMPANY, INC.","HR 159","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"EXPRESSING THE HAWAII STATE LEGISLATURE'S SUPPORT OF JAPAN'S EFFORTS TO ADDRESS THE ISSUE OF INTERNATIONAL CHILD ABDUCTION IN JAPAN.","HCR 174","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING AN IMPACT RESEARCH STUDY OF THE EFFECTS OF ABOLISHING THE COMPLEX AREAS AND THE ROLE OF THE COMPLEX AREA SUPERINTENDENTS FROM THE PUBLIC SCHOOL SYSTEM.","HCR 188","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"URGING THE DEPARTMENT OF LAND AND NATURAL RESOURCES AND THE SAND ISLAND BUSINESS ASSOCIATION TO CONTINUE THEIR DISCUSSIONS REGARDING THE SALE OR EXCHANGE OF PARCELS OF LAND WITHIN THE SAND ISLAND INDUSTRIAL PARK.","HR 157","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"ADOPTING AND AFFIRMING THE UNITED NATIONS UNIVERSAL PERIODIC REVIEW RECOMMENDATIONS TO THE UNITED STATES OF AMERICA AT THE STATE LEVEL REGARDING HUMAN RIGHTS, ENCOURAGING THE PROMOTION OF A CULTURE OF HUMAN RIGHTS, AND URGING PARTICIPATION IN A REVIEW OF THE UNITED STATES' PROGRESS IN HUMAN RIGHTS.","SCR 139","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING FEDERAL, STATE, AND COUNTY AGENCIES TO RECOGNIZE AND IMPLEMENT NATIVE HAWAIIAN CULTURAL MONITORING PROGRAMS AND URGING THE CREATION OF A LEGISLATIVE COMMITTEE TO PROPOSE AMENDMENTS TO CHAPTER 6E, HAWAII REVISED STATUTES, TO INCLUDE CRITERIA AND GUIDELINES REGARDING NATIVE HAWAIIAN CULTURAL MONITORING.","SR 54","hi","2013 Regular Session","upper","2013-03-11 00:00:00"
"REQUESTING THE DEPARTMENT OF HAWAIIAN HOME LANDS TO PROVIDE A REPORT TO THE LEGISLATURE REGARDING THE STATUS OF THE KA MAKANA ALII PROJECT AND ACT 187, SESSION LAWS OF HAWAII 2010.","SCR 202","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE STATE OF HAWAII TO ESTABLISH A PERMANENT STATEWIDE WEED AND SEED INITIATIVE AS A STATE AGENCY.","SCR 197","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"ENCOURAGING THE DEPARTMENT OF PUBLIC SAFETY TO EXPAND COMMUNITY DRUG TREATMENT AND MENTAL HEALTH PROGRAMS FOR NONVIOLENT OFFENDERS AND MOVE LOW-RISK OFFENDERS INTO COMMUNITY PROGRAMS THAT DIRECTLY ADDRESS THEIR PATHWAYS TO INCARCERATION.","SCR 187","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE AUDITOR TO CONDUCT AN AUDIT OF THE DEPARTMENT OF TAXATION AND DEPARTMENT OF BUDGET AND FINANCE TO ADDRESS CONCERNS REGARDING THE COLLECTION OF THE COUNTY SURCHARGE ON STATE TAX AND TIMELY DISTRIBUTION OF THE TAX TO THE CITY AND COUNTY OF HONOLULU.","SCR 181","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE UNITED STATES DEPARTMENT OF EDUCATION AND THE HAWAII DEPARTMENT OF EDUCATION TO DEVELOP AND IMPLEMENT A STANDARDIZED ASSESSMENT TEST IN THE HAWAIIAN LANGUAGE THAT MEETS OR EXEMPTS HAWAIIAN LANGUAGE IMMERSION SCHOOLS FROM THE STANDARDS OF THE FEDERAL NO CHILD LEFT BEHIND ACT OF 2001 AND MORE ACCURATELY MEASURES THE ACADEMIC ACHIEVEMENT OF HAWAIIAN LANGUAGE IMMERSION STUDENTS.","SCR 165","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE UNIVERSITY OF HAWAII TO ESTABLISH A SCHOOL OF DENTISTRY ON THE UNIVERSITY OF HAWAII WEST OAHU CAMPUS AND RELOCATE THE DEPARTMENT OF DENTAL HYGIENE TO THE UNIVERSITY OF HAWAII WEST OAHU CAMPUS.","SCR 144","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"RELATING TO THE KAHO‘OLAWE ISLAND RESERVE COMMISSION.","SB 1275","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO THE OFFICE OF ENVIRONMENTAL QUALITY CONTROL.","SB 1143","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO RECYCLING.","SB 1131","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"ADOPTING AND AFFIRMING THE UNITED NATIONS UNIVERSAL PERIODIC REVIEW RECOMMENDATIONS TO THE UNITED STATES OF AMERICA AT THE STATE LEVEL REGARDING HUMAN RIGHTS, ENCOURAGING THE PROMOTION OF A CULTURE OF HUMAN RIGHTS, AND URGING PARTICIPATION IN A REVIEW OF THE UNITED STATES' PROGRESS IN HUMAN RIGHTS.","SR 100","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"ADOPTING THE INTERNATIONAL LABOR ORGANIZATION CONVENTION 169 CONCERNING INDIGENOUS AND TRIBAL PEOPLES IN INDEPENDENT COUNTRIES.","SR 99","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF HUMAN RESOURCES DEVELOPMENT TO CONDUCT A STUDY ON THE FEASIBILITY OF ESTABLISHING AND IMPLEMENTING A TELEWORK PROGRAM FOR STATE AGENCIES ON OAHU.","SR 90","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF TRANSPORTATION TO ALLOW MOTORISTS COMMUTING TO HONOLULU ON THE H-1 FREEWAY TO TRAVEL ON THE SHOULDER LANE DURING THE MORNING RUSH HOUR COMMUTE IN ORDER TO EXIT THE H-1 FREEWAY AT THE EWA/WAIPAHU EXIT.","SR 89","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE PRESIDENT AND CONGRESS TO EXEMPT HAWAII, ALASKA, GUAM, AND PUERTO RICO FROM THE "JONES ACT" FOR THE HEALTH, SAFETY, AND SECURITY OF THEIR RESIDENTS.","SR 81","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING ALL AGENCIES IN THE CRIMINAL JUSTICE SYSTEM TO CONDUCT MANDATORY AND ONGOING IMPLICIT, UNCONSCIOUS BIAS TRAINING FOR ALL EMPLOYEES.","SR 80","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"ENCOURAGING THE BOARD OF EDUCATION AND DEPARTMENT OF EDUCATION, IN COLLABORATION WITH THE DEPARTMENT OF HEALTH, TO DEVELOP AND ADOPT GUIDELINES FOR THE TRAINING OF SCHOOL EMPLOYEES AND QUALIFIED VOLUNTEERS TO PROVIDE CARE TO STUDENTS WITH DIABETES.","SR 61","hi","2013 Regular Session","upper","2013-03-11 00:00:00"
"URGING THE OFFICE OF PLANNING TO CONVENE THE FOOD SUSTAINABILITY STANDARD TASK FORCE TO DEVELOP A FOOD SUSTAINABILITY STANDARD FOR THE STATE.","SR 59","hi","2013 Regular Session","upper","2013-03-11 00:00:00"
"RECOGNIZING JANUARY 17TH OF EVERY YEAR AS A DAY TO COMMEMORATE AND RECOGNIZE THE EVENTS AND STRUGGLE FOR JUSTICE THAT LED TO THE APOLOGY TO NA KANAKA MAOLI BY THE UNITED CHURCHES OF CHRIST AND THE UNITED STATES CONGRESSIONAL APOLOGY TO NATIVE HAWAIIANS AND URGING SCHOOLS, THE HOSPITALITY INDUSTRY, AND THE UNITED STATES DEPARTMENT OF DEFENSE TO INCORPORATE THE FOREGOING APOLOGIES INTO THEIR CURRICULUM OR ORIENTATION AND TRAINING PROGRAMS.","SR 56","hi","2013 Regular Session","upper","2013-03-11 00:00:00"
"RECOGNIZING JANUARY 17TH OF EVERY YEAR AS A DAY TO COMMEMORATE AND RECOGNIZE THE EVENTS AND STRUGGLE FOR JUSTICE THAT LED TO THE UNITED CHURCHES OF CHRIST'S APOLOGY TO NA KANAKA MAOLI AND THE UNITED STATES CONGRESSIONAL APOLOGY TO NATIVE HAWAIIANS.","SR 55","hi","2013 Regular Session","upper","2013-03-11 00:00:00"
"URGING THE DIRECTOR OF BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM TO DISSOLVE THE HAWAII FILM OFFICE AND ESTABLISH THE CREATIVE MEDIA ARTS AUTHORITY.","SR 132","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF EDUCATION TO CONVENE A PUBLIC CHARTER SCHOOLS EQUITABLE FEDERAL FUNDING TASK FORCE TO STUDY AND MAKE RECOMMENDATIONS ON ENHANCING HAWAII'S EFFORTS TO OBTAIN INCREASED FEDERAL FUNDING FOR PUBLIC CHARTER SCHOOLS AND CORRECTING ANY INEQUITIES OR INCONSISTENCIES IN DISTRIBUTION OF FEDERAL FUNDING AMONG PUBLIC CHARTER SCHOOLS.","SR 128","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"DIRECTING THE DIRECTOR OF TAXATION TO REVIEW SECTION 237-25(C), HAWAII REVISED STATUTES, TO DETERMINE IF THERE IS A RATIONAL BASIS FOR THE APPARENT DISPARITY BETWEEN THE APPLICATION OF THAT PROVISION AND OTHER SECTIONS OF CHAPTER 237, HAWAII REVISED STATUTES.","SR 127","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE DEPARTMENT OF EDUCATION TO SUPPORT AND ENCOURAGE THE USE OF THE HAWAIIAN LANGUAGE BY CHILDREN UNDER THE AGE OF FIVE BY DEVELOPING A PROGRAM TO IMPLEMENT THE REJUVENATION AND PROTECTION OF THE HAWAIIAN LANGUAGE AND PROMOTING FLUENCY IN PREKINDERGARTEN-AGED CHILDREN.","SR 124","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE UNITED STATES DEPARTMENT OF EDUCATION AND THE HAWAII DEPARTMENT OF EDUCATION TO DEVELOP AND IMPLEMENT A STANDARDIZED ASSESSMENT TEST IN THE HAWAIIAN LANGUAGE THAT MEETS OR EXEMPTS HAWAIIAN LANGUAGE IMMERSION SCHOOLS FROM THE STANDARDS OF THE FEDERAL NO CHILD LEFT BEHIND ACT OF 2001 AND MORE ACCURATELY MEASURES THE ACADEMIC ACHIEVEMENT OF HAWAIIAN LANGUAGE IMMERSION STUDENTS.","SR 122","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE PRESIDENT OF THE SENATE TO ESTABLISH A GREEN BUILDING PROGRAM WORKING GROUP TO EXPLORE WAYS TO ENCOURAGE GREEN BUILDING IN HAWAII.","SR 114","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE DIRECTOR OF HEALTH TO RECONVENE THE CLEAN AND SOBER HOMES AND HALFWAY HOUSES TASK FORCE.","SR 106","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE OFFICE OF HAWAIIAN AFFAIRS TO CONDUCT A FINANCIAL REVIEW OF INFORMATION SUBJECT TO THE REPORTING REQUIREMENTS OF SECTION 5 OF ACT 178, SESSION LAWS OF HAWAII 2006.","SR 105","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE UNIVERSITY OF HAWAII TO ESTABLISH A SCHOOL OF DENTISTRY ON THE UNIVERSITY OF HAWAII WEST OAHU CAMPUS AND RELOCATE THE DEPARTMENT OF DENTAL HYGIENE TO THE UNIVERSITY OF HAWAII WEST OAHU CAMPUS.","SR 104","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"RECOGNIZING HAWAII AS A HUMAN RIGHTS STATE.","SR 101","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE ESTABLISHMENT OF AN AGRICULTURAL THEFT TASK FORCE.","HR 188","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE ESTABLISHMENT OF A TASK FORCE TO STUDY AND MAKE RECOMMENDATIONS ON THE RE-USE OF R-1 WATER FOR AGRICULTURAL PURPOSES IN CENTRAL OAHU.","HR 187","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"SUPPORTING THE PHASE OUT OF THE DEPOSIT BEVERAGE CONTAINER RECYCLING PROGRAM TO ESTABLISH AN EXPANDED STATEWIDE CURBSIDE RECYCLING PROGRAM.","HR 185","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"DECLARING OCTOBER AS "FARM TO SCHOOL MONTH" IN HAWAII AND REQUESTING THE DEPARTMENT OF AGRICULTURE, IN COOPERATION WITH THE DEPARTMENT OF EDUCATION, TO CREATE AND IMPLEMENT A FARM TO SCHOOL PROGRAM IN HAWAII'S PUBLIC SCHOOLS.","HR 184","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF ACCOUNTING AND GENERAL SERVICES IN COOPERATION WITH THE STATE HISTORIC PRESERVATION DIVISION OF THE DEPARTMENT OF LAND AND NATURAL RESOURCES TO DEVELOP AND IMPLEMENT A PLAN TO REPAIR AND MAINTAIN THE REFLECTING POOLS SURROUNDING THE STATE CAPITOL.","HR 183","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE ESTABLISHMENT OF A TASK FORCE TO STUDY AND MAKE RECOMMENDATIONS REGARDING SCHOOL SAFETY.","HR 171","hi","2013 Regular Session","lower","2013-03-13 00:00:00"
"REQUESTING THE DEPARTMENT OF HAWAIIAN HOME LANDS TO PROVIDE A REPORT TO THE LEGISLATURE REGARDING THE STATUS OF THE KA MAKANA ALII PROJECT AND ACT 187, SESSION LAWS OF HAWAII 2010.","SR 152","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
