"Action","Bill ID","Date","Actor"
"Introduced.","SB 1083","2013-01-24 00:00:00","upper"
"Passed First Reading.","SB 1083","2013-01-24 00:00:00","upper"
"Referred to EDU/EGH, WAM.","SB 1083","2013-01-24 00:00:00","upper"
"The committee(s) on EDU/EGH has scheduled a public hearing on 02-04-13  1:30PM in conference room 414.","SB 1083","2013-01-28 00:00:00","upper"
"The committee(s) on EDU recommend(s) that the measure be PASSED, UNAMENDED.  The votes in EDU were as follows: 3 Aye(s): Senator(s) Tokuda, Kidani, Ruderman; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Shimabukuro, Slom.","SB 1083","2013-02-04 00:00:00","upper"
"The committee(s) on EGH will hold a public decision making on 02-08-13  2:45PM in conference room 016.","SB 1083","2013-02-05 00:00:00","upper"
"The committee(s) on EGH recommend(s) that the measure be PASSED, UNAMENDED.  The votes in EGH were as follows: 4 Aye(s): Senator(s) Dela Cruz, Slom, Chun Oakland, L. Thielen; Aye(s) with reservations: none ; 0 No(es): none; and 3 Excused: Senator(s) Baker, English, Wakai.","SB 1083","2013-02-08 00:00:00","upper"
"Reported from EDU/EGH (Stand. Com. Rep. No. 243) with recommendation of passage on Second Reading and referral to WAM.
","SB 1083","2013-02-13 00:00:00","upper"
"Report adopted; Passed Second Reading and referred to WAM.","SB 1083","2013-02-13 00:00:00","upper"
"The committee(s) on WAM will hold a public decision making on 02-21-13  9:00AM in conference room 211.","SB 1083","2013-02-19 00:00:00","upper"
"The committee(s) on WAM recommend(s) that the measure be PASSED, UNAMENDED.  The votes in WAM were as follows: 13 Aye(s): Senator(s) Ige, Kidani, Chun Oakland, Dela Cruz, English, Espero, Kahele, Keith-Agaran, Kouchi, Ruderman, L. Thielen, Tokuda, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.","SB 1083","2013-02-21 00:00:00","upper"
"Reported from WAM (Stand. Com. Rep. No. 783) with recommendation of passage on Third Reading.","SB 1083","2013-03-01 00:00:00","upper"
"One Day Notice 03-05-13.","SB 1083","2013-03-01 00:00:00","upper"
"Report adopted; Passed Third Reading.  Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House.","SB 1083","2013-03-05 00:00:00","upper"
"Received from Senate (Sen. Com. No. 295).","SB 1083","2013-03-05 00:00:00","lower"
"Pass First Reading","SB 1083","2013-03-07 00:00:00","lower"
"Referred to EDN, FIN, referral sheet 30","SB 1083","2013-03-07 00:00:00","lower"
"Bill scheduled to be heard by EDN on Monday, 03-11-13  2:00PM in House conference room 309.","SB 1083","2013-03-07 00:00:00","lower"
"The committee(s) on EDN recommend(s) that the measure be deferred until 03-13-13 at 2:00pm.","SB 1083","2013-03-11 00:00:00","lower"
"The committees on EDN recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 9 Ayes: Representative(s) Takumi, Ohno, Choy, Hanohano, Ichiyama, Nakashima, Takai, Cheape, Fale; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Aquino.   ","SB 1083","2013-03-13 00:00:00","lower"
"Reported from EDN (Stand. Com. Rep. No. 1059) as amended in HD 1, recommending passage on Second Reading and referral to FIN.","SB 1083","2013-03-20 00:00:00","lower"
"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Cabanilla, Choy, Hashem, Oshiro, Say, Tokioka excused (6).","SB 1083","2013-03-20 00:00:00","lower"
"Bill scheduled to be heard by FIN on Tuesday, 04-02-13  2:00PM in House conference room 308.","SB 1083","2013-03-28 00:00:00","lower"
"The committees on FIN recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 15 Ayes: Representative(s) Luke, Nishimoto, Johanson, Cullen, Hashem, Ing, Jordan, Kobayashi, Lowen, Morikawa, Onishi, Takayama, Tokioka, Yamashita, Fukumoto; Ayes with reservations: none;  Noes: none; and 2 Excused: Representative(s) Woodson, Ward.   ","SB 1083","2013-04-02 00:00:00","lower"
"Reported from FIN (Stand. Com. Rep. No. 1582) as amended in HD 2, recommending passage on Third Reading.","SB 1083","2013-04-05 00:00:00","lower"
"Forty-eight (48) hours notice Tuesday, 04-09-13.","SB 1083","2013-04-05 00:00:00","lower"
"Passed Third Reading as amended in HD 2 with none voting aye with reservations; none voting no (0) and none excused (0).  Transmitted to Senate.","SB 1083","2013-04-09 00:00:00","lower"
"Received from House (Hse. Com. No. 597).","SB 1083","2013-04-11 00:00:00","upper"
"Senate disagrees with House amendments.","SB 1083","2013-04-11 00:00:00","upper"
"Received notice of disagreement (Sen. Com. No. 607).","SB 1083","2013-04-11 00:00:00","lower"
"Senate Conferees appointed: Tokuda, Chair; Dela Cruz, Ige, Co-Chair(s); Keith-Agaran, Slom.","SB 1083","2013-04-15 00:00:00","upper"
"Received notice of Senate conferees (Sen. Com. No. 692).","SB 1083","2013-04-15 00:00:00","lower"
"House conferees appointed: Takumi, Ing Co-Chairs; Takai, Fale.","SB 1083","2013-04-15 00:00:00","lower"
"Received notice of appointment of House conferees (Hse. Com. No. 699).","SB 1083","2013-04-16 00:00:00","upper"
"Conference committee meeting scheduled for 04-17-13  3:00PM in conference room 329.","SB 1083","2013-04-16 00:00:00","upper"
"Conference committee meeting to reconvene on 04-18-13  3:00PM in conference room 329.","SB 1083","2013-04-17 00:00:00","upper"
"Senator(s) Kidani replaced Senator(s) Ige as (Co-) Chair(s).","SB 1083","2013-04-18 00:00:00","upper"
"The Conference committee recommends that the measure be PASSED, WITH AMENDMENTS. The votes of the Senate Conference Managers were as follows: 3 Aye(s): Senator(s) Tokuda, Dela Cruz, Kidani; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Keith-Agaran, Slom.","SB 1083","2013-04-18 00:00:00","upper"
"The Conference Committee recommends that the measure be Passed, with Amendments. The votes were as follows: 4 Ayes: Representative(s) Takumi, Ing, Takai, Fale; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.","SB 1083","2013-04-18 00:00:00","lower"
"Received notice of change in Senate conferees (Sen. Com. No. 709).","SB 1083","2013-04-18 00:00:00","lower"
"Reported from Conference Committee as amended CD 1 (Conf. Com. Rep. No. 2).","SB 1083","2013-04-22 00:00:00","upper"
"Reported from Conference Committee (Conf Com. Rep. No. 2) as amended in (CD 1).","SB 1083","2013-04-22 00:00:00","lower"
"48 Hrs. Notice (as amended CD 1) 04-24-13.","SB 1083","2013-04-22 00:00:00","upper"
"Passed Final Reading, as amended (CD 1). 25 Aye(s); Aye(s) with reservations: none . 0 No(es): none.  0 Excused: none.","SB 1083","2013-04-24 00:00:00","upper"
"Passed Final Reading as amended in CD 1 with none voting aye with reservations; none voting no (0) and Representative(s) Brower, Har, Oshiro excused (3).","SB 1083","2013-04-24 00:00:00","lower"
"Received notice of Final Reading (Sen. Com. No. 746).","SB 1083","2013-04-24 00:00:00","lower"
"Received notice of passage on Final Reading in House (Hse. Com. No. 739).","SB 1083","2013-04-25 00:00:00","upper"
"Enrolled to Governor.","SB 1083","2013-04-24 00:00:00","upper"
"Act 258, on 7/2/2013 (Gov. Msg. No. 1361).","SB 1083","2013-07-09 00:00:00","lower"
"Act 258, 7/2/2013 (Gov. Msg. No. 1361).","SB 1083","2013-07-09 00:00:00","upper"
"Pending introduction.","HB 120","2013-01-17 00:00:00","lower"
"Introduced and Passed First Reading","HB 120","2013-01-18 00:00:00","lower"
"Referred to HLT/HUS, CPC, FIN, referral sheet 2","HB 120","2013-01-22 00:00:00","lower"
"Bill scheduled to be heard by HLT/HUS on Friday, 02-01-13 10:00AM in House conference room 329.","HB 120","2013-01-29 00:00:00","lower"
"The committees on HLT recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 6 Ayes: Representative(s) Belatti, Morikawa, Cabanilla, Carroll, Kobayashi, Cheape; Ayes with reservations: none;  Noes: none; and 2 Excused: Representative(s) Jordan, Woodson.   ","HB 120","2013-02-01 00:00:00","lower"
"The committees on HUS recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 6 Ayes: Representative(s) Carroll, Kobayashi, Belatti, Cabanilla, Morikawa, Fukumoto; Ayes with reservations: none;  Noes: none; and 2 Excused: Representative(s) Jordan, Woodson.   ","HB 120","2013-02-01 00:00:00","lower"
"Reported from HLT/HUS (Stand. Com. Rep. No. 246) as amended in HD 1, recommending passage on Second Reading and referral to CPC.","HB 120","2013-02-08 00:00:00","lower"
"Passed Second Reading as amended in HD 1 and referred to the committee(s) on CPC with Representative(s) Cabanilla, Jordan voting aye with reservations; none voting no (0) and Representative(s) Cachola, Har, McDermott excused (3).","HB 120","2013-02-08 00:00:00","lower"
"Bill scheduled to be heard by CPC on Wednesday, 02-13-13  2:30PM in House conference room 325.","HB 120","2013-02-11 00:00:00","lower"
"The committees on CPC recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 11 Ayes: Representative(s) McKelvey, Kawakami, Brower, Carroll, Evans, Ito, C. Lee, Tsuji, Thielen; Ayes with reservations: Representative(s) Cabanilla, Cachola; 1 Noes: Representative(s) McDermott; and 3 Excused: Representative(s) Belatti, Har, Yamane.   ","HB 120","2013-02-13 00:00:00","lower"
"Reported from CPC (Stand. Com. Rep. No. 542) as amended in HD 2, recommending referral to FIN.","HB 120","2013-02-15 00:00:00","lower"
"Report adopted. referred to the committee(s) on FIN as amended in HD 2 with none voting aye with reservations; Representative(s) McDermott voting no (1) and Representative(s) Carroll, Coffman, Hanohano, Har, Kawakami, Ward excused (6).","HB 120","2013-02-15 00:00:00","lower"
"Bill scheduled to be heard by FIN on Thursday, 02-21-13 11:00AM in House conference room 308.","HB 120","2013-02-19 00:00:00","lower"
"The committees on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 16 Ayes: Representative(s) Luke, Nishimoto, Johanson, Cullen, Hashem, Jordan, Kobayashi, Lowen, Morikawa, Onishi, Takayama, Tokioka, Woodson, Yamashita, Fukumoto, Ward; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ing.","HB 120","2013-02-21 00:00:00","lower"
"Reported from FIN (Stand. Com. Rep. No. 673), recommending passage on Third Reading.","HB 120","2013-02-28 00:00:00","lower"
"Passed Third Reading with Representative(s) Aquino, Cabanilla, Cachola, Cheape, Cullen, Fale, Hanohano, Johanson, Ward voting aye with reservations; none voting no (0) and Representative(s) Coffman, McDermott excused (2).  Transmitted to Senate.","HB 120","2013-02-28 00:00:00","lower"
"Received from House (Hse. Com. No. 73).","HB 120","2013-03-01 00:00:00","upper"
"Passed First Reading.","HB 120","2013-03-01 00:00:00","upper"
"Referred to HMS/HTH, WAM.","HB 120","2013-03-05 00:00:00","upper"
"The committee(s) on HMS/HTH has scheduled a public hearing on 03-12-13  1:15PM in conference room 016.","HB 120","2013-03-07 00:00:00","upper"
"The committee(s) on  HTH recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in HTH were as follows: 3 Aye(s): Senator(s) Baker, Chun Oakland, Nishihara; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Green, Slom.","HB 120","2013-03-12 00:00:00","upper"
"The committee(s) on  HMS recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in HMS were as follows: 3 Aye(s): Senator(s) Chun Oakland, Green, Taniguchi; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Kidani, Slom.","HB 120","2013-03-12 00:00:00","upper"
"Reported from HMS/HTH (Stand. Com. Rep. No. 900) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.","HB 120","2013-03-19 00:00:00","upper"
"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.","HB 120","2013-03-19 00:00:00","upper"
"The committee(s) on WAM will hold a public decision making on 03-25-13  9:10AM in conference room 211.","HB 120","2013-03-21 00:00:00","upper"
"The committee(s) on  WAM deferred the measure until 03-27-13  9:00AM in conference room 211.","HB 120","2013-03-25 00:00:00","upper"
"The committee(s) on  WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WAM were as follows: 11 Aye(s): Senator(s) Ige, Kidani, Chun Oakland, Dela Cruz, Espero, Kahele, Keith-Agaran, Kouchi, Ruderman, L. Thielen, Tokuda; Aye(s) with reservations: none ; 1 No(es): Senator(s) Slom; and 1 Excused: Senator(s) English.","HB 120","2013-03-27 00:00:00","upper"
"Reported from WAM (Stand. Com. Rep. No. 1370) with recommendation of passage on Third Reading, as amended (SD 2).","HB 120","2013-04-05 00:00:00","upper"
"48 Hrs. Notice 04-09-13.","HB 120","2013-04-05 00:00:00","upper"
"Report adopted; Passed Third Reading, as amended (SD  2). Ayes, 24; Aye(s) with reservations: none .  Noes, 1 (Senator(s) Slom). Excused, 0 (none).  Transmitted to House.","HB 120","2013-04-09 00:00:00","upper"
"Returned from Senate (Sen. Com. No.  476) in amended form (SD 2).","HB 120","2013-04-09 00:00:00","lower"
"House disagrees with Senate amendment (s).","HB 120","2013-04-11 00:00:00","lower"
"Received notice of disagreement (Hse. Com. No. 650).","HB 120","2013-04-12 00:00:00","upper"
"House conferees appointed: Belatti, Carroll, McKelvey, Morikawa Co-Chairs; Jordan, Fukumoto.","HB 120","2013-04-15 00:00:00","lower"
"Received notice of appointment of House conferees (Hse. Com. No. 697).","HB 120","2013-04-16 00:00:00","upper"
"House conferee(s) added: Representative(s) Cabanilla.","HB 120","2013-04-16 00:00:00","lower"
"Senate Conferees appointed: Chun Oakland, Chair; Green, Ige, Co-Chair(s); Taniguchi, L. Thielen.","HB 120","2013-04-16 00:00:00","upper"
"Received notice of Senate conferees (Sen. Com. No. 697).","HB 120","2013-04-16 00:00:00","lower"
"Received notice of change in conferees (Hse. Com. No. 701).","HB 120","2013-04-17 00:00:00","upper"
"Senator(s) Espero replaced Senator(s) Ige as (Co-) Chair(s).","HB 120","2013-04-18 00:00:00","upper"
"Received notice of change in Senate conferees (Sen. Com. No. 709).","HB 120","2013-04-18 00:00:00","lower"
"Bill scheduled for Conference Committee Meeting on Tuesday, 04-23-13  8:30AM in conference room 229.","HB 120","2013-04-19 00:00:00","lower"
"Conference Committee Meeting will reconvene on Wednesday 04-24-13  8:30AM in conference room 229.","HB 120","2013-04-23 00:00:00","lower"
"Conference Committee Meeting will reconvene on Thursday 04-25-13 12:00PM in conference room 229.","HB 120","2013-04-24 00:00:00","lower"
"Conference Committee Meeting will reconvene on Friday 04-26-13  1:00PM in conference room 229.","HB 120","2013-04-25 00:00:00","lower"
"Conference Committee Meeting will reconvene on Friday, 04-26-13 at 3:30pm in Conference Room 229.","HB 120","2013-04-26 00:00:00","lower"
"The Conference Committee recommends that the measure be Passed, with Amendments. The votes were as follows: 7 Ayes: Representative(s) Belatti, Carroll, McKelvey, Morikawa, Cabanilla, Jordan, Fukumoto; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.","HB 120","2013-04-26 00:00:00","lower"
"The Conference committee recommends that the measure be PASSED, WITH AMENDMENTS. The votes of the Senate Conference Managers were as follows: 5 Aye(s): Senator(s) Chun Oakland, Green, Espero, Taniguchi, L. Thielen; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.","HB 120","2013-04-26 00:00:00","upper"
"Reported from Conference Committee (Conf Com. Rep. No. 145) as amended in (CD 1).","HB 120","2013-04-26 00:00:00","lower"
"Forty-eight (48) hours notice, Tuesday 04-30-13.","HB 120","2013-04-26 00:00:00","lower"
"Reported from Conference Committee as amended CD 1 (Conf. Com. Rep. No. 145).","HB 120","2013-04-26 00:00:00","upper"
"48 Hrs. Notice (as amended CD 1) 04-30-13.","HB 120","2013-04-26 00:00:00","upper"
"Passed Final Reading, as amended (CD 1). 24 Aye(s); Aye(s) with reservations: none . 1 No(es): Senator(s) Slom.  0 Excused: none.","HB 120","2013-04-30 00:00:00","upper"
"Passed Final Reading as amended in CD 1 with Representative(s) Ward voting aye with reservations; Representative(s) Cabanilla, McDermott voting no (2) and none excused (0).","HB 120","2013-04-30 00:00:00","lower"
"Received notice of Final Reading (Sen. Com. No. 755).","HB 120","2013-05-01 00:00:00","lower"
"Received notice of passage on Final Reading in House (Hse. Com. No. 761).","HB 120","2013-05-02 00:00:00","upper"
"Transmitted to Governor.","HB 120","2013-05-07 00:00:00","lower"
"Act 213, on 6/27/2013 (Gov. Msg. No. 1316).","HB 120","2013-07-02 00:00:00","lower"
"Act 213, 6/27/2013 (Gov. Msg. No. 1316).","HB 120","2013-07-02 00:00:00","upper"
"Introduced.","SB 454","2013-01-18 00:00:00","upper"
"Passed First Reading.","SB 454","2013-01-22 00:00:00","upper"
"Referred to WTL/ENE.","SB 454","2013-01-22 00:00:00","upper"
"The committee(s) on WTL/ENE has scheduled a public hearing on 01-29-13  2:15PM in conference room 225.","SB 454","2013-01-24 00:00:00","upper"
"The committee(s) on  WTL/ENE deferred the measure until 01-31-13  2:45PM in conference room 225.","SB 454","2013-01-29 00:00:00","upper"
"The committee(s) on  ENE recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in ENE were as follows: 4 Aye(s): Senator(s) Gabbard, Ruderman, Ihara, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Chun Oakland.","SB 454","2013-01-31 00:00:00","upper"
"The committee(s) on  WTL recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WTL were as follows: 5 Aye(s): Senator(s) Solomon, Dela Cruz, Ihara, Ruderman, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 2 Excused: Senator(s) Shimabukuro, L. Thielen.","SB 454","2013-01-31 00:00:00","upper"
"Reported from WTL/ENE (Stand. Com. Rep. No. 153) with recommendation of passage on Second Reading, as amended (SD 1) and placement on the calendar for Third Reading.","SB 454","2013-02-08 00:00:00","upper"
"Report adopted; Passed Second Reading, as amended (SD 1). ","SB 454","2013-02-08 00:00:00","upper"
"48 Hrs. Notice 02-11-13.","SB 454","2013-02-08 00:00:00","upper"
"Passed Third Reading, as amended (SD 1). Ayes, 24; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 1 (Senator(s) Shimabukuro).  Transmitted to House.","SB 454","2013-02-11 00:00:00","upper"
"Received from Senate (Sen. Com. No. 13) in amended form (SD 1).","SB 454","2013-02-11 00:00:00","lower"
"Pass First Reading","SB 454","2013-02-12 00:00:00","lower"
"Referred to EEP, WAL, referral sheet 27","SB 454","2013-02-20 00:00:00","lower"
"Bill scheduled to be heard by EEP on Tuesday, 03-12-13  8:30AM in House conference room 325.","SB 454","2013-03-08 00:00:00","lower"
"The committees on EEP recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 9 Ayes: Representative(s) C. Lee, Thielen, Coffman, Cullen, Evans, Hanohano, Kawakami, Lowen, Fale; Ayes with reservations: none;  Noes: none; and  Excused: none.   ","SB 454","2013-03-12 00:00:00","lower"
"Bill scheduled to be heard by WAL on Monday, 03-18-13  8:35AM in House conference room 325.","SB 454","2013-03-15 00:00:00","lower"
"This measure has been deleted from the meeting scheduled on Monday 03-18-13  8:35AM in conference room 325.","SB 454","2013-03-15 00:00:00","lower"
"Reported from EEP (Stand. Com. Rep. No. 1029) as amended in HD 1, recommending passage on Second Reading and referral to WAL.","SB 454","2013-03-19 00:00:00","lower"
"Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with none voting aye with reservations; none voting no (0) and none excused (0).","SB 454","2013-03-19 00:00:00","lower"
"Bill scheduled to be heard by WAL on Monday, 04-01-13 10:30AM in House conference room 325.","SB 454","2013-03-28 00:00:00","lower"
"The committees on WAL recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 6 Ayes: Representative(s) Evans, Lowen, Coffman, Hanohano, Fale, Thielen; Ayes with reservations: none;  Noes: none; and 3 Excused: Representative(s) Cullen, Kawakami, C. Lee.","SB 454","2013-04-01 00:00:00","lower"
"Reported from WAL (Stand. Com. Rep. No. 1441), recommending passage on Third Reading.","SB 454","2013-04-04 00:00:00","lower"
"Passed Third Reading with none voting aye with reservations; none voting no (0) and none excused (0).  Transmitted to Senate.","SB 454","2013-04-04 00:00:00","lower"
"Received from House (Hse. Com. No. 439).","SB 454","2013-04-05 00:00:00","upper"
"Deferred until 04-09-13.","SB 454","2013-04-05 00:00:00","upper"
"Deferred until 04-11-13.","SB 454","2013-04-09 00:00:00","upper"
"Senate disagrees with House amendments.","SB 454","2013-04-11 00:00:00","upper"
"Received notice of disagreement (Sen. Com. No. 608).","SB 454","2013-04-11 00:00:00","lower"
"House conferees appointed: C. Lee, Evans Co-Chairs; Coffman, Thielen.","SB 454","2013-04-15 00:00:00","lower"
"Senate Conferees appointed: Solomon, Chair; Gabbard, Co-Chair(s); Dela Cruz, Shimabukuro, Slom.","SB 454","2013-04-15 00:00:00","upper"
"Received notice of Senate conferees (Sen. Com. No. 694).","SB 454","2013-04-15 00:00:00","lower"
"Received notice of appointment of House conferees (Hse. Com. No. 699).","SB 454","2013-04-16 00:00:00","upper"
"Conference committee meeting scheduled for 04-19-13  2:00PM in conference room 224.","SB 454","2013-04-18 00:00:00","upper"
"Conference committee meeting to reconvene on 04-22-13  2:30PM in conference room 224.","SB 454","2013-04-19 00:00:00","upper"
"The Senate Conference Managers recommend that the Senate agree to the House amendments. The votes of the Senate Conference Managers were as follows: 5 Aye(s): Senator(s) Solomon, Gabbard, Dela Cruz, Shimabukuro, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.","SB 454","2013-04-22 00:00:00","upper"
"Reconsideration of action taken on 04-11-13 in disagreeing to the House amendments.","SB 454","2013-04-24 00:00:00","upper"
"Senate agrees with House amendments.  Placed on the calendar for Final Reading on 04-25-13.","SB 454","2013-04-24 00:00:00","upper"
"One Day Notice 04-25-13.","SB 454","2013-04-24 00:00:00","upper"
"Passed Final Reading. 24 Aye(s); Aye(s) with reservations: none . 0 No(es): none. 1 Excused: Nishihara.","SB 454","2013-04-25 00:00:00","upper"
"Received notice of reconsideration, Senate agreement, and Final Reading (Sen. Com. No. 748).","SB 454","2013-04-25 00:00:00","lower"
"Enrolled to Governor.","SB 454","2013-04-29 00:00:00","upper"
"Act 233, 6/27/2013 (Gov. Msg. No. 1336).","SB 454","2013-07-02 00:00:00","upper"
"Act 233, on 6/27/2013 (Gov. Msg. No. 1336).","SB 454","2013-07-02 00:00:00","lower"
"Introduced.","SB 1280","2013-01-24 00:00:00","upper"
"Passed First Reading.","SB 1280","2013-01-24 00:00:00","upper"
"Referred to ENE, WAM.","SB 1280","2013-01-28 00:00:00","upper"
"The committee(s) on ENE has scheduled a public hearing on 01-31-13  2:45PM in conference room 225.","SB 1280","2013-01-28 00:00:00","upper"
"The committee(s) on  ENE recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in ENE were as follows: 5 Aye(s): Senator(s) Gabbard, Ruderman, Chun Oakland, Ihara, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.","SB 1280","2013-01-31 00:00:00","upper"
"Reported from ENE (Stand. Com. Rep. No. 116) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.","SB 1280","2013-02-07 00:00:00","upper"
"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.","SB 1280","2013-02-07 00:00:00","upper"
"The committee(s) on WAM will hold a public decision making on 02-22-13  9:00AM in conference room 211.","SB 1280","2013-02-19 00:00:00","upper"
"The committee(s) on  WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WAM were as follows: 12 Aye(s): Senator(s) Ige, Kidani, Chun Oakland, Dela Cruz, English, Espero, Kahele, Keith-Agaran, Ruderman, L. Thielen, Tokuda, Slom; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Kouchi.","SB 1280","2013-02-22 00:00:00","upper"
"Reported from WAM (Stand. Com. Rep. No. 741) with recommendation of passage on Third Reading, as amended (SD 2).","SB 1280","2013-03-01 00:00:00","upper"
"48 Hrs. Notice 03-05-13.","SB 1280","2013-03-01 00:00:00","upper"
"Report adopted; Passed Third Reading, as amended (SD  2). Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House.","SB 1280","2013-03-05 00:00:00","upper"
"Received from Senate (Sen. Com. No. 371) in amended form (SD 2).","SB 1280","2013-03-05 00:00:00","lower"
"Pass First Reading","SB 1280","2013-03-07 00:00:00","lower"
"Referred to EDB, FIN, referral sheet 30","SB 1280","2013-03-07 00:00:00","lower"
"Bill scheduled to be heard by EDB on Tuesday, 03-19-13  9:00AM in House conference room 312.","SB 1280","2013-03-15 00:00:00","lower"
"Broadcast of hearing/briefing available.  See:  www.capitoltv.org","SB 1280","2013-03-18 00:00:00","lower"
"The committees on EDB recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 9 Ayes: Representative(s) Tsuji, Ward, Brower, Cachola, Choy, Ohno, Onishi, Takayama, Tokioka; Ayes with reservations: none;  Noes: none; and  Excused: none.   ","SB 1280","2013-03-19 00:00:00","lower"
"Reported from EDB (Stand. Com. Rep. No. 1117) as amended in HD 1, recommending passage on Second Reading and referral to FIN.","SB 1280","2013-03-22 00:00:00","lower"
"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and McKelvey, Takumi, Woodson excused (3).","SB 1280","2013-03-22 00:00:00","lower"
"Bill scheduled to be heard by FIN on Monday, 04-01-13  2:00PM in House conference room 308.","SB 1280","2013-03-28 00:00:00","lower"
"The committees on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 17 Ayes: Representative(s) Luke, Nishimoto, Johanson, Cullen, Hashem, Ing, Jordan, Kobayashi, Lowen, Morikawa, Onishi, Takayama, Tokioka, Woodson, Yamashita, Fukumoto, Ward; Ayes with reservations: none;  Noes: none; and  Excused: none.","SB 1280","2013-04-01 00:00:00","lower"
"Reported from FIN (Stand. Com. Rep. No. 1421), recommending passage on Third Reading.","SB 1280","2013-04-04 00:00:00","lower"
"Passed Third Reading with none voting aye with reservations; none voting no (0) and Cabanilla excused (1).  Transmitted to Senate.","SB 1280","2013-04-04 00:00:00","lower"
"Received from House (Hse. Com. No. 456).","SB 1280","2013-04-05 00:00:00","upper"
"Deferred until 04-09-13.","SB 1280","2013-04-05 00:00:00","upper"
"Deferred until 04-11-13.","SB 1280","2013-04-09 00:00:00","upper"
"Senate disagrees with House amendments.","SB 1280","2013-04-11 00:00:00","upper"
"Received notice of disagreement (Sen. Com. No. 608).","SB 1280","2013-04-11 00:00:00","lower"
"Senate Conferees appointed: Gabbard, Chair; Ige, Co-Chair(s); Kahele, Kouchi, Slom.","SB 1280","2013-04-15 00:00:00","upper"
"Received notice of Senate conferees (Sen. Com. No. 692).","SB 1280","2013-04-15 00:00:00","lower"
"House conferees appointed: Tsuji, Tokioka Co-Chairs; Ohno, Ward.","SB 1280","2013-04-15 00:00:00","lower"
"Received notice of appointment of House conferees (Hse. Com. No. 699).","SB 1280","2013-04-16 00:00:00","upper"
"Senator(s) Ige discharged as (Co-) Chair; Added as conferee.","SB 1280","2013-04-18 00:00:00","upper"
"Senator(s) Kouchi discharged as conferee(s); Added as Co-Chair(s).","SB 1280","2013-04-18 00:00:00","upper"
"Received notice of change in Senate conferees (Sen. Com. No. 709).","SB 1280","2013-04-18 00:00:00","lower"
"Conference committee meeting scheduled for 04-23-13 11:00AM in conference room 225.","SB 1280","2013-04-22 00:00:00","upper"
"Conference committee meeting to reconvene on 04-24-13 11:00AM in conference room 225.","SB 1280","2013-04-23 00:00:00","upper"
"Conference committee meeting to reconvene on 04-25-13 11:00AM in conference room 225.","SB 1280","2013-04-24 00:00:00","upper"
"Conference committee meeting to reconvene on 04-26-13 11:00AM in conference room 225.","SB 1280","2013-04-25 00:00:00","upper"
